ID,MATCH,TESTO DI PARTENZA (TP),TESTO DI ARRIVO (TA)
ART04_F03_GPT,"Halterófila, Atleta","Con ella se va la mejor halterófila que ha tenido nunca España, la única atleta nacional, mujer u hombre, en conseguir una medalla olímpica en su especialidad hasta la fecha (logró el oro en Londres 2012, también la plata y bronce en Pekín 2008 y Río 2016), pionera también en Mundiales, pues es la única española en lograr coronarse como la mejor, oros en 2017 y 2018.","Con lei se ne va la migliore sollevatrice di pesi che la Spagna abbia mai avuto, l’unica atleta nazionale, donna o uomo, ad aver conquistato finora una medaglia olimpica nella sua specialità (ottenne l’oro a Londra 2012, oltre all’argento e al bronzo a Pechino 2008 e Rio 2016), e anche pioniera ai Mondiali, poiché è l’unica spagnola ad essersi incoronata campionessa del mondo, con gli ori del 2017 e del 2018."
ART04_F09_GPT,Deportista,"Inscrita en el Gran Premio de La Habana, disputado el pasado junio, la deportista no pudo finalmente participar por culpa de esa lesión y tampoco consiguió estar lista para el Mundial, celebrado en la primera quincena de este mes y que era clasificatorio para los Juegos, por el mismo motivo.","Iscritta al Gran Premio dell’Avana, disputato lo scorso giugno, l’atleta non ha potuto infine partecipare per colpa di quell’infortunio e, per lo stesso motivo, non è riuscita a farsi trovare pronta neppure per il Mondiale, celebrato nella prima metà di questo mese e valido come qualificazione per i Giochi."
ART04_F40_GPT,Atletas,"En 2016, la descalificación por dopaje de varias atletas de nacionalidad rusa, bielorrusa, kazaja y china en las pruebas olímpicas de 2008 y 2012 le dieron la medalla de plata y oro respectivamente en las citas de Pekín y Londres.","Nel 2016, la squalifica per doping di diverse atlete russe, bielorusse, kazake e cinesi nelle prove olimpiche del 2008 e del 2012 le consegnò rispettivamente la medaglia d’argento e quella d’oro nelle edizioni di Pechino e Londra."
ART05_F01_GPT,Portera,La campeona del mundo de fútbol y portera del Barça lamenta que el 'caso Rubiales' haya empañado el título ganado por la selección,La campionessa del mondo di calcio e portiera del Barça si rammarica che il “caso Rubiales” abbia offuscato il titolo vinto dalla Nazionale.
ART05_F02_GPT,Portera,"La portera del FC Barcelona Catalina Coll (Marratxí, Mallorca, 2001) atiende a La Vanguardia después de unas semanas intensas tras el terremoto desatado por el caso Rubiales.","La portiera del FC Barcelona Catalina Coll (Marratxí, Maiorca, 2001) parla con La Vanguardia dopo settimane intense, successive al terremoto scatenato dal caso Rubiales."
ART06_F01_GPT,Remera,"La gallega, ex remera en Orio, visibiliza los problemas de salud mental en el deporte de elite tras tocar fondo.","La galiziana, ex rematrice a Orio, porta alla luce i problemi di salute mentale nello sport d’élite dopo aver toccato il fondo."
ART06_F07_GPT,Remera,"La anorexia adueñándose por completo de una remera de elite, ganadora por dos veces de la Bandera de la Concha con el Club Orio Arraunketa Elkartea.","L’anoressia che si impossessa completamente di una rematrice d’élite, vincitrice per due volte della Bandiera della Concha con il Club Orio Arraunketa Elkartea."
ART06_F14_GPT,Entrenadora,"Además de trabajar como entrenadora y readaptadora en San Sebastián, colabora con la Fundación Juntos e Invulnerables, para que los niños no tengan que atravesar por lo que ella pasó.","Oltre a lavorare come allenatrice e rieducatrice a San Sebastián, collabora con la Fondazione Juntos e Invulnerables, perché i bambini non debbano attraversare ciò che lei ha passato."
ART07_F02_GPT,Entrenadora,"La entrenadora Emma Hayes, que se embarca en su primer gran torneo a cargo del equipo, nombró su plantilla para los Juegos Olímpicos de París 2024 este miércoles.","L’allenatrice Emma Hayes, al suo primo grande torneo alla guida della squadra, ha annunciato questo mercoledì la rosa per i Giochi Olimpici di Parigi 2024"
ART07_F03_GPT,"Jugadoras, Jugadoras, Jugadoras","La plantilla de 22 jugadoras, que incluye 18 jugadoras que viajarán a París y cuatro suplentes, incluye solo ocho jugadoras de los Juegos Olímpicos de 2020, que se celebraron en 2021 en Tokio, y 10 miembros del equipo del Mundial de 2023.",La lista di 22 giocatrici — 18 che viaggeranno a Parigi e quattro riserve — include soltanto otto atlete presenti ai Giochi del 2020 (disputati nel 2021 a Tokyo) e 10 componenti della squadra del Mondiale 2023.
ART07_F04_GPT,Jugadoras,La exclusión de Morgan de la plantilla expone el cambio que se avecina en un equipo que tuvo un gran éxito en las últimas temporadas con un núcleo de jugadoras increíblemente exitoso.,L’esclusione di Morgan evidenzia il cambiamento in arrivo in una squadra che ha avuto grande successo nelle ultime stagioni grazie a un nucleo di giocatrici straordinariamente vincenti.
ART07_F12_GPT,Jugadoras,"Reconoció que la plantilla de París tendrá jugadoras menos experimentadas que en torneos anteriores, ya que el foco está puesto en el desarrollo.","Ha riconosciuto che la rosa di Parigi avrà giocatrici meno esperte rispetto ai tornei precedenti, poiché l’attenzione è concentrata sullo sviluppo."
ART07_F15_GPT,Jugadoras,"“Creo que, si se analiza la acumulación del equipo, hubo una falta de desarrollo para poner a las jugadoras –algunas de las menos experimentadas– en posiciones donde puedan desarrollar esa experiencia.","«Credo che, se si analizza la costruzione della squadra, ci sia stata una mancanza di sviluppo per mettere le giocatrici — alcune delle meno esperte — in posizioni in cui potessero maturare quell’esperienza."
ART07_F17_GPT,Jugadoras,"“No miro hacia atrás, tenemos que mirar hacia adelante con un grupo de jugadoras que dejaron atrás ese Mundial.",«Non guardo indietro: dobbiamo guardare avanti con un gruppo di giocatrici che si è lasciato alle spalle quel Mondiale.
ART07_F20_GPT,"Porteras, Defensoras, Delanteras","El plantel está formada por las porteras Casey Murphy y Alyssa Naeher; las defensoras Tierna Davidson, Emily Fox, Naomi Girma, Casey Krueger, Jenna Nighswonger y Emily Sonnett; las mediocampistas Korbin Albert, Sam Coffey, Lindsey Horan, Rose Lavelle y Catarina Macario; y las delanteras Crystal Dunn, Trinity Rodman, Jaedyn Shaw, Sophia Smith y Mallory Swanson.","La rosa è composta dalle portiere Casey Murphy e Alyssa Naeher; dalle difensore Tierna Davidson, Emily Fox, Naomi Girma, Casey Krueger, Jenna Nighswonger ed Emily Sonnett; dalle centrocampiste Korbin Albert, Sam Coffey, Lindsey Horan, Rose Lavelle e Catarina Macario; e dalle attaccanti Crystal Dunn, Trinity Rodman, Jaedyn Shaw, Sophia Smith e Mallory Swanson."
ART07_F21_GPT,"Portera, Delantera","Las cuatro suplentes son la portera Jane Campbell, las centrocampistas Hal Hershfelt y Croix Bethune y la delantera Lynn Williams.","Le quattro riserve sono la portiera Jane Campbell, le centrocampiste Hal Hershfelt e Croix Bethune e l’attaccante Lynn Williams."
ART07_F25_GPT,Jugadoras,"Muchas de las jugadoras seleccionadas pueden jugar en varias posiciones, lo que será clave dado el tiempo relativamente corto entre partidos en Francia.","Molte delle giocatrici selezionate possono giocare in più ruoli, il che sarà fondamentale dato il tempo relativamente breve tra le partite in Francia."
ART07_F26_GPT,Jugadoras,"“El factor más importante son las 16 jugadoras de campo que jugarán muchos partidos (posiblemente, espero) durante un periodo de 17 días”, dijo.","«Il fattore più importante sono le 16 giocatrici di movimento che disputeranno molte partite (potenzialmente, spero) nell’arco di 17 giorni», ha detto."
ART07_F28_GPT,Jugadoras,"Hay cambios difíciles entre juegos, por lo que, por supuesto, tener jugadoras en el plantel que puedan jugar en más de una posición es importante para la profundidad del equipo”.","Ci sono cambi difficili tra una partita e l’altra, quindi, naturalmente, avere giocatrici che possano giocare in più di una posizione è importante per la profondità della squadra»."
ART08_F02_GPT,Boxeadora,"El jueves, una boxeadora italiana abandonó su combate en los Juegos Olímpicos de París tras solo 46 segundos y se negó a seguir en la pelea luego de recibir un fuerte golpe de una contrincante argelina, quien había sido descalificada de los campeonatos del mundo del año pasado por dudas sobre su idoneidad para competir en deportes femeninos.","Giovedì, una pugile italiana ha abbandonato il suo incontro ai Giochi Olimpici di Parigi dopo soli 46 secondi e si è rifiutata di proseguire nel combattimento dopo aver incassato un colpo molto duro da un’avversaria algerina, che era stata squalificata dai campionati del mondo dell’anno scorso per dubbi sulla sua idoneità a competere negli sport femminili."
ART08_F03_GPT,Boxeadora,"La boxeadora italiana, Angela Carini, se retiró después de que su rival argelina, Imane Khelif, conectara un potente golpe que pareció impactar de lleno en su rostro.","La pugile italiana, Angela Carini, si è ritirata dopo che la sua rivale algerina, Imane Khelif, ha messo a segno un potente colpo che è sembrato colpirla in pieno al volto."
ART08_F07_GPT,Atleta,"Otra atleta a quien también se le había prohibido participar en campeonatos internacionales el año pasado en circunstancias similares, Lin Yu-ting, también ha sido autorizada a pelear en París.","Un’altra atleta a cui era stata proibita la partecipazione ai campionati internazionali l’anno scorso in circostanze simili, Lin Yu-ting, è stata anch’essa autorizzata a combattere a Parigi."
ART08_F24_GPT,Atletas,"“Las atletas que tienen características genéticas masculinas no deberían ser admitidas en competiciones femeninas”, declaró a los periodistas.","“Le atlete che hanno caratteristiche genetiche maschili non dovrebbero essere ammesse nelle competizioni femminili”, ha dichiarato ai giornalisti."
ART08_F25_GPT,Boxeadora,"Claressa Shields, boxeadora profesional que en 2012 se convirtió en la primera mujer estadounidense en ganar una medalla de oro olímpica, dijo en una entrevista que no recordaba haberse sometido a pruebas de testosterona cuando competía como amateur.","Claressa Shields, pugile professionista che nel 2012 è diventata la prima donna statunitense a vincere una medaglia d’oro olimpica, ha detto in un’intervista che non ricordava di essersi sottoposta a test sul testosterone quando gareggiava da dilettante."
ART08_F31_GPT,"Deportistas, Nadadora","Uno se refiere a las deportistas transgénero, como la nadadora estadounidense Lia Thomas, quien libró en busca de una oportunidad para clasificarse para los Juegos de París.","La prima riguarda le atlete transgender, come la nuotatrice statunitense Lia Thomas, che ha combattuto per ottenere l’opportunità di qualificarsi ai Giochi di Parigi."
ART08_F33_GPT,Atletas,"Mark Adams, un portavoz del COI, dijo que ni Khelif, de Argelia, ni Lin, de China Taipéi, eran atletas transgénero y que no debían ser descritas así.","Mark Adams, portavoce del CIO, ha detto che né Khelif, dell’Algeria, né Lin, di Chinese Taipei, erano atlete transgender e che non dovrebbero essere descritte come tali."
ART08_F34_GPT,Atletas,"La otra cuestión afecta a atletas como Caster Semenya, bicampeona olímpica de atletismo, que tienen un desarrollo sexual diferente conocido como DSD 46XY.","La seconda questione riguarda atlete come Caster Semenya, due volte campionessa olimpica di atletica, che presentano una differenza nello sviluppo sessuale nota come DSD 46XY."
ART08_F37_GPT,Boxeadoras,"Umar Kremlev, presidente de la asociación, declaró que las boxeadoras habían sido excluidas entonces de los campeonatos mundiales de 2023 porque las pruebas revelaron que presentaban cromosomas X y Y.","Umar Kremlev, presidente dell’associazione, ha dichiarato che le pugili erano state escluse dai campionati mondiali del 2023 perché i test avevano rivelato che presentavano cromosomi X e Y."
ART08_F39_GPT,"Boxeadoras, Atletas","El COI se ha enfrentado a cuestionamientos cada vez mayores sobre la participación de las dos boxeadoras, pero ha afirmado que ambas atletas han sido autorizadas a combatir según las normas del torneo olímpico.","Il CIO ha affrontato crescenti contestazioni sulla partecipazione delle due pugili, ma ha affermato che entrambe sono state autorizzate a combattere secondo le norme del torneo olimpico."
ART08_F49_GPT,Atletas,"El Tribunal de Arbitraje Deportivo, que dirime los litigios en el deporte internacional, ha dictaminado que las normas de algunas federaciones deportivas que imponen restricciones a las atletas con DSD 46XY son discriminatorias, pero “necesarias, razonables y proporcionadas” “ para preservar la deportividad en las pruebas de mujeres.","Il Tribunale Arbitrale dello Sport, che dirime le controversie nello sport internazionale, ha stabilito che le norme di alcune federazioni sportive che impongono restrizioni alle atlete con DSD 46XY sono discriminatorie, ma “necessarie, ragionevoli e proporzionate” “per preservare la correttezza sportiva nelle prove femminili”."
ART09_F01_GPT,Boxeadora,"– El portavoz del Comité Olímpico Internacional (COI), Mark Adams, dijo este viernes en rueda de prensa que la boxeadora argelina Imane Khelif que participó en los Juegos Olímpicos de París 2024 “nació mujer, fue registrada como mujer, vive su vida como mujer, boxea como mujer, tiene un pasaporte de mujer”.","– Il portavoce del Comitato Olimpico Internazionale (CIO), Mark Adams, ha dichiarato questo venerdì in conferenza stampa che la pugile algerina Imane Khelif, che ha partecipato ai Giochi Olimpici di Parigi 2024, “è nata donna, è stata registrata come donna, vive la sua vita come donna, boxa come donna, ha un passaporto da donna”."
ART09_F06_GPT,Boxeadora,"“No es un tema transgénero”, aclara el COI sobre la controversia de la boxeadora Imane Khelif en Paris 2024","“Non è una questione transgender”, chiarisce il CIO sulla controversia che riguarda la pugile Imane Khelif a Parigi 2024."
ART09_F14_GPT,Boxeadora,"La boxeadora Lin Yu-ting, de Taiwán, también está en el punto de mira tras años de competición amateur.","Anche la pugile Lin Yu-ting, di Taiwan, è sotto i riflettori dopo anni di competizione dilettantistica."
ART09_F18_GPT,Atletas,"En marzo de 2023, la Asociación Internacional de Boxeo (IBA, por su sigla en inglés), a la que le fue retirado el reconocimiento del COI, descalificó a las atletas Lin Yu-ting e Imane Khelif de los Campeonatos Mundiales de Boxeo Femenino de la IBA celebrados en Nueva Delhi.","Nel marzo 2023, l’Associazione Internazionale di Pugilato (IBA, per il suo acronimo in inglese), a cui il CIO ha revocato il riconoscimento, ha squalificato le atlete Lin Yu-ting e Imane Khelif dai Campionati Mondiali di Pugilato Femminile dell’IBA svoltisi a Nuova Delhi."
ART09_F19_GPT,Boxeadoras,"La IBA emitió un comunicado el miércoles en el que afirmaba que ambas boxeadoras “no se sometieron a un examen de testosterona” el año pasado, sino que fueron “sometidas a una prueba separada y reconocida, cuyos detalles son confidenciales”.","L’IBA ha diffuso mercoledì un comunicato in cui affermava che entrambe le pugili “non si sono sottoposte a un esame del testosterone” l’anno scorso, bensì sono state “sottoposte a un test separato e riconosciuto, i cui dettagli sono confidenziali”."
ART10_F01_GPT,Corredora,Valentina Petrillo se convirtió el lunes en la primera corredora transexual que participa en unos Juegos Paralímpicos al competir en la prueba de 400 metros T12 femeninos.,"Valentina Petrillo è diventata lunedì la prima atleta transgender a partecipare ai Giochi Paralimpici, gareggiando nella prova femminile dei 400 metri T12."
ART10_F08_GPT,Atleta,"Contrariamente a lo que se dice, Petrillo no es la primera atleta paralímpica transgénero de la historia.","Contrariamente a quanto si dice, Petrillo non è la prima atleta paralimpica transgender della storia."
ART10_F09_GPT,Lanzadora,"El Comité Paralímpico Internacional (CPI) confirmó a CNN que la lanzadora de disco neerlandesa Ingrid van Kranen era una paralímpica transgénero cuando compitió en los Juegos Paralímpicos de Río en 2016, antes de la participación de Petrillo en los Juegos Paralímpicos de 2024.","Il Comitato Paralimpico Internazionale (IPC) ha confermato a CNN che la lanciatrice olandese del disco Ingrid van Kranen era un’atleta paralimpica transgender quando partecipò ai Giochi Paralimpici di Rio nel 2016, prima della partecipazione di Petrillo ai Giochi Paralimpici del 2024."
