ID,MATCH,TP,TA
B_ART_03_F44,Tiradora,"Pese a lo vivido en el pasado ciclo olímpico, la tiradora disputó en junio el Europeo de Croacia con opciones de conseguir una plaza para los Juegos de Tokio 2020 que al final se le escapó.","Nonostante quanto vissuto nel passato ciclo olimpico, la tiratrice ha disputato a giugno l'Europeo in Croazia con la possibilità di ottenere un posto per i Giochi di Tokyo 2020, che alla fine le è sfuggito."
B_ART_04_F03,"Halterófila, Atleta","Con ella se va la mejor halterófila que ha tenido nunca España, la única atleta nacional, mujer u hombre, en conseguir una medalla olímpica en su especialidad hasta la fecha (logró el oro en Londres 2012, también la plata y bronce en Pekín 2008 y Río 2016), pionera también en Mundiales, pues es la única española en lograr coronarse como la mejor, oros en 2017 y 2018.","Con lei se va la migliore sollevatrice di pesi che la Spagna abbia mai avuto, l'unica atleta nazionale, donna o uomo, a ottenere una medaglia olimpica nella sua specialità fino ad oggi (ha vinto l'oro a Londra 2012, oltre all'argento e al bronzo a Pechino 2008 e Rio 2016), pioniera anche ai Mondiali, essendo l'unica spagnola a conquistare il titolo di migliore, con ori nel 2017 e 2018."
B_ART_04_F09,Deportista,"Inscrita en el Gran Premio de La Habana, disputado el pasado junio, la deportista no pudo finalmente participar por culpa de esa lesión y tampoco consiguió estar lista para el Mundial, celebrado en la primera quincena de este mes y que era clasificatorio para los Juegos, por el mismo motivo.","Iscritta al Gran Premio de L'Avana, disputato lo scorso giugno, l'atleta non ha potuto partecipare alla fine a causa di quell'infortunio e non è riuscita neanche a essere pronta per i Mondiali, svoltisi nella prima quindicina di questo mese e che erano qualificanti per i Giochi, per lo stesso motivo."
B_ART_04_F40,Atletas,"En 2016, la descalificación por dopaje de varias atletas de nacionalidad rusa, bielorrusa, kazaja y china en las pruebas olímpicas de 2008 y 2012 le dieron la medalla de plata y oro respectivamente en las citas de Pekín y Londres.","Nel 2016, la squalifica per doping di diverse atlete di nazionalità russa, bielorussa, kazaka e cinese nelle prove olimpiche del 2008 e 2012 le ha assegnato rispettivamente la medaglia d'argento e d'oro nelle edizioni di Pechino e Londra."
B_ART_05_F01,Portera,La campeona del mundo de fútbol y portera del Barça lamenta que el 'caso Rubiales' haya empañado el título ganado por la selección,La campionessa del mondo di calcio e portiera del Barça si rammarica che il 'caso Rubiales' abbia offuscato il titolo vinto dalla nazionale
B_ART_05_F02,Portera,"La portera del FC Barcelona Catalina Coll (Marratxí, Mallorca, 2001) atiende a La Vanguardia después de unas semanas intensas tras el terremoto desatado por el caso Rubiales.","La portiera del FC Barcelona Catalina Coll (Marratxí, Maiorca, 2001) parla con La Vanguardia dopo alcune settimane intense a seguito del terremoto scatenato dal caso Rubiales."
B_ART_06_F01,Remera,"La gallega, ex remera en Orio, visibiliza los problemas de salud mental en el deporte de elite tras tocar fondo.","La galiziana, ex canottiera a Orio, mette in luce i problemi di salute mentale nello sport d'elite dopo aver toccato il fondo."
B_ART_06_F07,Remera,"La anorexia adueñándose por completo de una remera de elite, ganadora por dos veces de la Bandera de la Concha con el Club Orio Arraunketa Elkartea.","L'anoressia che si impossessa completamente di una maglietta d'élite, vincitrice per due volte della Bandiera di Concha con il Club Orio Arraunketa Elkartea."
B_ART_06_F14,Entrenadora,"Además de trabajar como entrenadora y readaptadora en San Sebastián, colabora con la Fundación Juntos e Invulnerables, para que los niños no tengan que atravesar por lo que ella pasó.","Oltre a lavorare come allenatrice e riabilitatrice a San Sebastián, collabora con la Fondazione Insieme e Invulnerabili, affinché i bambini non debbano affrontare ciò che lei ha vissuto."
B_ART_07_F02,Entrenadora,"La entrenadora Emma Hayes, que se embarca en su primer gran torneo a cargo del equipo, nombró su plantilla para los Juegos Olímpicos de París 2024 este miércoles.","L'allenatrice Emma Hayes, che si accinge a partecipare al suo primo grande torneo alla guida della squadra, ha annunciato mercoledì la sua formazione per i Giochi Olimpici di Parigi 2024."
B_ART_07_F03,"Jugadoras, Jugadoras, Jugadoras","La plantilla de 22 jugadoras, que incluye 18 jugadoras que viajarán a París y cuatro suplentes, incluye solo ocho jugadoras de los Juegos Olímpicos de 2020, que se celebraron en 2021 en Tokio, y 10 miembros del equipo del Mundial de 2023.","La rosa di 22 giocatrici, che include 18 giocatrici che viaggeranno a Parigi e quattro riserve, comprende solo otto giocatrici delle Olimpiadi del 2020, che si sono svolte nel 2021 a Tokyo, e 10 membri della squadra del Mondiale 2023."
B_ART_07_F04,Jugadoras,La exclusión de Morgan de la plantilla expone el cambio que se avecina en un equipo que tuvo un gran éxito en las últimas temporadas con un núcleo de jugadoras increíblemente exitoso.,L'esclusione di Morgan dalla rosa mette in evidenza il cambiamento imminente in una squadra che ha avuto un grande successo nelle ultime stagioni con un nucleo di giocatrici incredibilmente riuscito.
B_ART_07_F12,Jugadoras,"Reconoció que la plantilla de París tendrá jugadoras menos experimentadas que en torneos anteriores, ya que el foco está puesto en el desarrollo.","Ha riconosciuto che la squadra di Parigi avrà giocatrici meno esperte rispetto ai tornei precedenti, poiché l'attenzione è rivolta allo sviluppo."
B_ART_07_F15,Jugadoras,"“Creo que, si se analiza la acumulación del equipo, hubo una falta de desarrollo para poner a las jugadoras –algunas de las menos experimentadas– en posiciones donde puedan desarrollar esa experiencia.","“Credo che, se si analizza l’accumulo della squadra, ci sia stata una mancanza di sviluppo nel mettere le giocatrici – alcune delle meno esperte – in posizioni dove possano sviluppare quell’esperienza."
B_ART_07_F17,Jugadoras,"“No miro hacia atrás, tenemos que mirar hacia adelante con un grupo de jugadoras que dejaron atrás ese Mundial.","«Non guardo indietro, dobbiamo guardare avanti con un gruppo di giocatrici che hanno lasciato alle spalle quel Mondiale.»"
B_ART_07_F20,"Porteras, Defensoras, Delanteras","El plantel está formada por las porteras Casey Murphy y Alyssa Naeher; las defensoras Tierna Davidson, Emily Fox, Naomi Girma, Casey Krueger, Jenna Nighswonger y Emily Sonnett; las mediocampistas Korbin Albert, Sam Coffey, Lindsey Horan, Rose Lavelle y Catarina Macario; y las delanteras Crystal Dunn, Trinity Rodman, Jaedyn Shaw, Sophia Smith y Mallory Swanson.","La rosa è composta dalle portiere Casey Murphy e Alyssa Naeher; dalle difensori Tierna Davidson, Emily Fox, Naomi Girma, Casey Krueger, Jenna Nighswonger ed Emily Sonnett; dalle centrocampiste Korbin Albert, Sam Coffey, Lindsey Horan, Rose Lavelle e Catarina Macario; e dalle attaccanti Crystal Dunn, Trinity Rodman, Jaedyn Shaw, Sophia Smith e Mallory Swanson."
B_ART_07_F21,"Portera, Delantera","Las cuatro suplentes son la portera Jane Campbell, las centrocampistas Hal Hershfelt y Croix Bethune y la delantera Lynn Williams.","Le quattro riserve sono la portiera Jane Campbell, le centrocampiste Hal Hershfelt e Croix Bethune e l'attaccante Lynn Williams."
B_ART_07_F25,Jugadoras,"Muchas de las jugadoras seleccionadas pueden jugar en varias posiciones, lo que será clave dado el tiempo relativamente corto entre partidos en Francia.","Molte delle giocatrici selezionate possono giocare in diverse posizioni, il che sarà fondamentale dato il tempo relativamente breve tra le partite in Francia."
B_ART_07_F26,Jugadoras,"“El factor más importante son las 16 jugadoras de campo que jugarán muchos partidos (posiblemente, espero) durante un periodo de 17 días”, dijo.","“Il fattore più importante sono le 16 giocatrici di campo che giocheranno molte partite (possibilmente, spero) durante un periodo di 17 giorni”, ha detto."
B_ART_07_F28,Jugadoras,"Hay cambios difíciles entre juegos, por lo que, por supuesto, tener jugadoras en el plantel que puedan jugar en más de una posición es importante para la profundidad del equipo”.","Ci sono cambi difficili tra una partita e l'altra, quindi, naturalmente, avere giocatrici nella rosa che possano giocare in più di una posizione è importante per la profondità della squadra."
B_ART_08_F02,Boxeadora,"El jueves, una boxeadora italiana abandonó su combate en los Juegos Olímpicos de París tras solo 46 segundos y se negó a seguir en la pelea luego de recibir un fuerte golpe de una contrincante argelina, quien había sido descalificada de los campeonatos del mundo del año pasado por dudas sobre su idoneidad para competir en deportes femeninos.","Giovedì, una pugile italiana ha abbandonato il suo incontro alle Olimpiadi di Parigi dopo soli 46 secondi e si è rifiutata di rimanere in combattimento dopo aver subito un duro colpo da un'avversaria algerina, che era stata squalificata dai campionati del mondo dello scorso anno per dubbi sulla sua idoneità a competere negli sport femminili."
B_ART_08_F03,Boxeadora,"La boxeadora italiana, Angela Carini, se retiró después de que su rival argelina, Imane Khelif, conectara un potente golpe que pareció impactar de lleno en su rostro.","La pugile italiana Angela Carini si è ritirata dopo che la sua avversaria algerina, Imane Khelif, ha sferrato un potente pugno che sembrava colpirla in faccia."
B_ART_08_F07,Atleta,"Otra atleta a quien también se le había prohibido participar en campeonatos internacionales el año pasado en circunstancias similares, Lin Yu-ting, también ha sido autorizada a pelear en París.","Anche un altro atleta a cui era stato vietato di partecipare ai campionati internazionali l'anno scorso in circostanze simili, Lin Yu-ting, è stato autorizzato a combattere a Parigi."
B_ART_08_F24,Atletas,"“Las atletas que tienen características genéticas masculinas no deberían ser admitidas en competiciones femeninas”, declaró a los periodistas.","Gli atleti che hanno caratteristiche genetiche maschili non dovrebbero essere ammessi alle competizioni femminili, ha detto ai giornalisti."
B_ART_08_F25,Boxeadora,"Claressa Shields, boxeadora profesional que en 2012 se convirtió en la primera mujer estadounidense en ganar una medalla de oro olímpica, dijo en una entrevista que no recordaba haberse sometido a pruebas de testosterona cuando competía como amateur.","Claressa Shields, una pugile professionista che nel 2012 è diventata la prima donna americana a vincere una medaglia d'oro olimpica, ha detto in un'intervista che non ricordava di essere stata testata per il testosterone quando gareggiava come dilettante."
B_ART_08_F31,"Deportistas, Nadadora","Uno se refiere a las deportistas transgénero, como la nadadora estadounidense Lia Thomas, quien libró en busca de una oportunidad para clasificarse para los Juegos de París.","Uno riguarda gli atleti transgender, come la nuotatrice americana Lia Thomas, che ha lottato per avere la possibilità di qualificarsi per i Giochi di Parigi."
B_ART_08_F33,Atletas,"Mark Adams, un portavoz del COI, dijo que ni Khelif, de Argelia, ni Lin, de China Taipéi, eran atletas transgénero y que no debían ser descritas así.","Mark Adams, un portavoce del CIO, ha detto che né Khelif dell'Algeria né Lin del Taipei cinese erano atleti transgender e non dovrebbero essere descritti come tali."
B_ART_08_F34,Atletas,"La otra cuestión afecta a atletas como Caster Semenya, bicampeona olímpica de atletismo, que tienen un desarrollo sexual diferente conocido como DSD 46XY.","L'altro problema riguarda atleti come Caster Semenya, due volte campionessa olimpica di atletica leggera, che hanno uno sviluppo sessuale diverso noto come DSD 46XY."
B_ART_08_F37,Boxeadoras,"Umar Kremlev, presidente de la asociación, declaró que las boxeadoras habían sido excluidas entonces de los campeonatos mundiales de 2023 porque las pruebas revelaron que presentaban cromosomas X y Y.","Umar Kremlev, presidente dell'associazione, ha dichiarato che le pugili erano state poi escluse dai campionati del mondo 2023 perché i test hanno rivelato che avevano i cromosomi X e Y."
B_ART_08_F39,"Boxeadoras, Atletas","El COI se ha enfrentado a cuestionamientos cada vez mayores sobre la participación de las dos boxeadoras, pero ha afirmado que ambas atletas han sido autorizadas a combatir según las normas del torneo olímpico.","Il CIO ha affrontato crescenti domande sulla partecipazione dei due pugili, ma ha detto che entrambi gli atleti sono stati autorizzati a combattere secondo le regole del torneo olimpico."
B_ART_08_F49,Atletas,"El Tribunal de Arbitraje Deportivo, que dirime los litigios en el deporte internacional, ha dictaminado que las normas de algunas federaciones deportivas que imponen restricciones a las atletas con DSD 46XY son discriminatorias, pero “necesarias, razonables y proporcionadas” “ para preservar la deportividad en las pruebas de mujeres.","Il Tribunale Arbitrale dello Sport, che si occupa delle controversie nello sport internazionale, ha stabilito che le regole di alcune federazioni sportive che impongono restrizioni alle atlete con DSD 46XY sono discriminatorie, ma ""necessarie, ragionevoli e proporzionate"" per preservare la sportività negli eventi femminili."
B_ART_09_F01,Boxeadora,"– El portavoz del Comité Olímpico Internacional (COI), Mark Adams, dijo este viernes en rueda de prensa que la boxeadora argelina Imane Khelif que participó en los Juegos Olímpicos de París 2024 “nació mujer, fue registrada como mujer, vive su vida como mujer, boxea como mujer, tiene un pasaporte de mujer”.","– Il portavoce del Comitato Olimpico Internazionale (CIO) Mark Adams ha dichiarato venerdì in una conferenza stampa che la pugile algerina Imane Khelif che ha partecipato ai Giochi Olimpici di Parigi 2024 ""è nata donna, è stata registrata come donna, vive la sua vita come una donna, boxa come una donna, ha un passaporto da donna""."
B_ART_09_F06,Boxeadora,"“No es un tema transgénero”, aclara el COI sobre la controversia de la boxeadora Imane Khelif en Paris 2024","""Non è una questione transgender"", chiarisce il CIO sulla polemica del pugile Imane Khelif a Parigi 2024"
B_ART_09_F14,Boxeadora,"La boxeadora Lin Yu-ting, de Taiwán, también está en el punto de mira tras años de competición amateur.","Anche il pugile Lin Yu-ting, di Taiwan, è sotto i riflettori dopo anni di competizioni amatoriali."
B_ART_09_F18,Atletas,"En marzo de 2023, la Asociación Internacional de Boxeo (IBA, por su sigla en inglés), a la que le fue retirado el reconocimiento del COI, descalificó a las atletas Lin Yu-ting e Imane Khelif de los Campeonatos Mundiales de Boxeo Femenino de la IBA celebrados en Nueva Delhi.","Nel marzo 2023, l'International Boxing Association (IBA), a cui è stato tolto il riconoscimento del CIO, ha squalificato le atlete Lin Yu-ting e Imane Khelif dai Campionati mondiali di boxe femminile IBA tenutisi a Nuova Delhi."
B_ART_09_F19,Boxeadoras,"La IBA emitió un comunicado el miércoles en el que afirmaba que ambas boxeadoras “no se sometieron a un examen de testosterona” el año pasado, sino que fueron “sometidas a una prueba separada y reconocida, cuyos detalles son confidenciales”.","L'IBA ha rilasciato una dichiarazione mercoledì affermando che entrambi i pugili ""non si sono sottoposti a un test del testosterone"" l'anno scorso, ma sono stati ""sottoposti a un test separato e riconosciuto, i cui dettagli sono riservati""."
B_ART_10_F01,Corredora,Valentina Petrillo se convirtió el lunes en la primera corredora transexual que participa en unos Juegos Paralímpicos al competir en la prueba de 400 metros T12 femeninos.,Valentina Petrillo è diventata lunedì la prima atleta transessuale a partecipare ai Giochi Paralimpici competendo nella prova dei 400 metri T12 femminile.
B_ART_10_F08,Atleta,"Contrariamente a lo que se dice, Petrillo no es la primera atleta paralímpica transgénero de la historia.","Contrariamente a quanto si dice, Petrillo non è la prima atleta paralimpica transgender della storia."
B_ART_10_F09,Lanzadora,"El Comité Paralímpico Internacional (CPI) confirmó a CNN que la lanzadora de disco neerlandesa Ingrid van Kranen era una paralímpica transgénero cuando compitió en los Juegos Paralímpicos de Río en 2016, antes de la participación de Petrillo en los Juegos Paralímpicos de 2024.","Il Comitato Paralimpico Internazionale (CPI) ha confermato a CNN che la lanciatice di disco olandese Ingrid van Kranen era una paralimpica transgender quando ha gareggiato ai Giochi Paralimpici di Rio nel 2016, prima della partecipazione di Petrillo ai Giochi Paralimpici del 2024."
